year,spring.Tmax_C,spring.Tmin_C,spring.PPT_mm,summer.Tmax_C,summer.Tmin_C,summer.PPT_mm,fall.Tmax_C,fall.Tmin_C,fall.PPT_mm,annual.Tmax_C,annual.Tmin_C,annual.PPT_mm,elevation_m,allot_name
2016,10.61793478,-1.07576087,184.03,23.85978261,7.3475,34.28,11.24549451,1.098571429,132.98,11.124,-0.643205479,1.53339726,1996,Bohannon Creek
2017,10.32413043,-1.189673913,239.59,24.11315217,8.538586957,83.75,9.481428571,-0.900659341,202.94,10.53706849,-0.935452055,1.992410959,1996,Bohannon Creek
2018,10.10978261,-1.639130435,233.28,22.88347826,7.755217391,128.25,10.12527473,-1.142417582,119.24,10.60287671,-1.055753425,1.773342466,1996,Bohannon Creek
2019,8.883913043,-2.741630435,160.79,22.81217391,7.50326087,50.38,8.647692308,-2.17989011,141.82,9.746767123,-1.84460274,1.433123288,1996,Bohannon Creek
2020,9.387934783,-3.03576087,145.33,22.605,7.523804348,155.86,11.77857143,-1.069120879,116.78,10.77175342,-1.607863014,1.716219178,1996,Bohannon Creek
2000,10.67130435,-2.55,119.88,24.74130435,7.695,46.19,9.246153846,-3.339340659,132.95,11.05720548,-2.137945205,1.06630137,2089,Boundary
2001,11.15021739,-2.879130435,63.55,24.25173913,7.69423913,78.63,12.96978022,-0.695604396,60.15,11.48120548,-2.28709589,0.721561644,2089,Boundary
2002,8.94173913,-4.510108696,106.25,24.12152174,7.592717391,94.06,10.70791209,-2.681648352,65.45,10.46057534,-2.952821918,0.937808219,2089,Boundary
2003,10.08717391,-2.637826087,165.7,25.80032609,8.842391304,43.79,11.90252747,-2.147582418,25.54,12.10405479,-1.298849315,0.859068493,2089,Boundary
2004,11.48586957,-1.756956522,114.75,22.76956522,7.192934783,122,11.28912088,-1.11956044,102.13,11.16490411,-1.613150685,1.217589041,2089,Boundary
2005,9.870978261,-2.659782609,218.16,23.05358696,7.063913043,116.38,11.7589011,-1.285494505,103.57,11.15246575,-1.928493151,1.436136986,2089,Boundary
2006,10.24173913,-2.614782609,150.76,24.93521739,8.509021739,76.54,10.66417582,-1.671318681,134.77,11.27663014,-1.82830137,1.277890411,2089,Boundary
2007,12.61695652,-1.54826087,102.82,26.00945652,9.153913043,58.19,11.15175824,-1.434395604,106.7,12.14312329,-1.376109589,0.945671233,2089,Boundary
2008,7.670434783,-5.519673913,101.16,24.10206522,7.374782609,43.22,12.71010989,-0.648571429,79.85,10.53652055,-2.962958904,1.069369863,2089,Boundary
2009,9.736304348,-3.408043478,157.2,21.74021739,7.322826087,174.34,11.42186813,-1.643736264,107.66,10.38038356,-2.408246575,1.309041096,2089,Boundary
2010,8.605652174,-3.458586957,169.82,22.12836957,6.674347826,95.73,12.18098901,-0.899450549,117.27,10.59835616,-1.901808219,1.290931507,2089,Boundary
2011,7.451630435,-4.176413043,201.47,22.83967391,6.645217391,58.44,11.70164835,-1.636483516,88.44,10.09446575,-2.870630137,1.081726027,2089,Boundary
